201	宝贝不错 试用了一下 有股精油的味道 感觉还可以 就是包装设计有些瑕疵 盖子封闭不严 容易漏 有待改进 但是卖家服务很好 用好还会来	\N	1	150	136******11	您好，非常抱歉给您带来不便，商品漏液可能是在运输中快递小哥太过暴力所致，也有可能是我们包装时没有包装好，不管是这两者哪一种导致，我们再此给您说声抱歉，我们后期也会加强完善包装，以便您能收到完好的商品也可以给您带来好的购物体验，您这次所反馈的问题我们已经安排专业客服与您进行沟通为您处理妥善，请您相信我们，也期待您下次的光临可以看到我们改善，祝您生活愉快~	0	2018-01-19 12:50:35
202	茶树油味道有！泡沫也丰富，不过控油效果待定	\N	1	150	134******44		1	2018-02-07 08:40:03
203	用了很久，好好体验了一下才来评价，洗发水泡沫少，洗完头比较干，最好实用护发素之类的，效果还可以，头发掉的不是很严重。	\N	1	150	133******88		0	2018-03-06 16:15:33
204	收到后，洗了一次头发，控油效果还可以。就是洗的时候头发容易打结了	\N	1	150	135******77		1	2018-04-01 17:27:59
205	第一次购买，不错，控油效果扛扛的	\N	1	150	131******11		0	2018-04-04 08:55:37
206	头发容易出油，容易掉发。听朋友说Redwin这个牌子用后控油效果很好，而且是澳洲植物茶树油全天然成分，抑制掉发。买了试试效果，包装非常好，给五星！	\N	1	150	136******97		0	2018-03-09 17:35:04
207	第一次购买漱口水，好多颜色，眼花缭乱，真想备齐所有的口味！第一眼看中这款，清清爽爽，马上就有享用的感觉	\N	1	149	133******11		0	2017-12-05 08:32:07
208	宝贝收到，快递相当给力，店家的包装完整收到的时候没有任何损坏，完整如初，这个漱口水已经是第二次购买，虽然旧口起来有点辛辣，很总体来讲，效果还是很好，老婆用了一段时间牙齿的不舒服的感觉，稍微有点改善了，希望继续用效果会更好	\N	1	149	134******62		0	2018-01-09 15:55:44
209	拆开的时候感觉大瓶真的好大，用了两天就下去三分之一了/笑哭，现在感觉开始习惯了，就是多吐几口比较麻烦，后面有淡淡的甜味很好吃。	\N	1	149	135******55		0	2018-02-09 12:33:07
210	过去用别的牌子，有点贵。看评价买了这款。量多价格便宜，还送了赠品。主要是使用效果很好。老公用了很满意，感觉口臭味减轻，一天也离不开了。客服，物流快递都不错。还会继续关注的。全五分。	\N	1	149	137******44		0	2018-03-29 15:05:44
211	讲真，第一次用这个东西…我觉得这个口味和喝了一口风油精一样，很是酸爽，漱口之后感觉牙齿是挺干净的，但是这个味道也确实是需要勇气的，我觉得辣到不是很辣，30秒很轻松，就是有点风油精的气味，下次可以考虑换个味道	\N	1	149	136******66		0	2018-04-03 19:15:10
